assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-109.917,22.917
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-109.889,22.8917
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-109.883,22.8667
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-109.867,24.2
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-109.167,25.633
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-109.166664,25.633333
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-106.5,21.383
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-106.5,21.417
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-106.417,23.167
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-106.416664,23.183332
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-106.2,21.3
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.301,20.6542
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.211,19.633
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.21083,19.633333
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.125275,19.580555
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.125,19.581
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.117,19.55
725623,155130,Caranx sexfasciatus,1,1,5,T. Contreras,2018,IUCN Freshwater Biodiversity Unit,Extant (seasonality uncertain), , , , , ,T. Contreras McBeath 2014, ,,-105.105,19.563
