country,city,coffee_in_cafe,cost_beer,cost_coworking,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,life_score,nightlife,nomad_score,places_to_work,racism,safety
United States,Hamburg,4.3,4.3,430.13,3052,1.0,28.6,0.2,0.8,0.8,22,0.9,1.0,0.83,0.8,0.8,1.0
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8
United States,Buffalo,5.0,5.0,100.0,2798,1.0,34.0,0.8,0.6,0.8,37,0.88,0.8,0.83,0.8,0.8,0.8
United States,Buffalo,5.0,5.0,100.0,2798,1.0,34.0,0.8,0.6,0.8,37,0.88,0.8,0.83,0.8,0.8,0.8
United States,Fort Lauderdale,5.5,5.5,300.0,3145,1.0,34.0,0.8,0.6,0.8,12,0.88,1.0,0.82,0.8,0.8,0.6
United States,Tampa,5.0,5.0,97.0,2823,0.6,34.0,0.8,0.6,0.8,45,0.86,0.8,0.82,0.8,0.8,0.8
Germany,Cologne,4.3,4.3,322.6,2183,1.0,28.6,0.22,0.8,0.62,13,0.86,0.8,0.82,0.8,0.75,1.0
Germany,Munich,4.3,4.3,311.84,2704,1.0,28.6,0.4,0.8,1.0,20,0.87,0.96,0.82,0.8,0.8,0.98
Germany,Stuttgart,4.3,4.3,257.0,2501,1.0,28.6,0.6,0.8,1.0,25,0.89,0.8,0.82,0.8,0.8,1.0
United States,Louisville,4.0,4.0,80.0,2627,1.0,34.0,0.8,0.6,0.8,35,0.87,0.6,0.82,0.8,0.8,0.8
United States,Louisville,4.0,4.0,80.0,2627,1.0,34.0,0.8,0.6,0.8,35,0.87,0.6,0.82,0.8,0.8,0.8
United States,Louisville,4.0,4.0,80.0,2627,1.0,34.0,0.8,0.6,0.8,35,0.87,0.6,0.82,0.8,0.8,0.8
United States,Philadelphia,7.5,7.5,350.0,4497,0.8,34.0,1.0,0.6,0.8,23,0.88,1.0,0.82,1.0,0.8,0.6
Netherlands,Utrecht,5.38,5.38,298.94,3129,1.0,28.2,0.8,1.0,1.0,37,0.9,0.8,0.82,0.8,0.8,1.0
United States,New Orleans,5.0,5.0,275.0,3034,0.8,34.0,0.4,0.6,1.0,36,0.87,1.0,0.82,0.8,0.8,0.6
Belgium,Antwerp,6.99,6.99,75.27,3125,1.0,29.0,0.8,0.8,0.8,141,0.89,0.8,0.82,0.8,0.4,1.0
Portugal,Lisbon,2.69,2.69,106.46,1844,0.8,29.2,0.6,0.8,0.8,54,0.84,1.0,0.82,0.6,0.8,0.8
United States,Lisbon,2.69,2.69,106.46,1844,0.8,29.2,0.6,0.8,0.8,54,0.84,1.0,0.82,0.6,0.8,0.8
United States,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6
Canada,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6
United States,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6
New Zealand,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6
United States,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6
United States,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6
United Kingdom,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6
United States,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6
Australia,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6
Australia,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6
United States,Sacramento,5.0,5.0,180.0,3033,1.0,34.0,1.0,0.6,0.8,32,0.87,0.6,0.81,0.8,0.8,0.8
Brazil,Sacramento,5.0,5.0,180.0,3033,1.0,34.0,1.0,0.6,0.8,32,0.87,0.6,0.81,0.8,0.8,0.8
United States,Albuquerque,4.5,4.5,40.0,2361,1.0,34.0,0.8,0.6,0.6,23,0.89,0.8,0.81,0.8,0.8,0.8
United States,Norfolk,5.0,5.0,150.0,2773,0.8,34.0,0.0,0.6,0.8,34,0.86,0.42,0.81,0.8,0.78,0.8
United States,Norfolk,5.0,5.0,150.0,2773,0.8,34.0,0.0,0.6,0.8,34,0.86,0.42,0.81,0.8,0.78,0.8
United States,Norfolk,5.0,5.0,150.0,2773,0.8,34.0,0.0,0.6,0.8,34,0.86,0.42,0.81,0.8,0.78,0.8
Switzerland,Bern,4.01,4.01,35.12,2966,1.0,21.8,1.0,0.8,1.0,48,0.89,0.6,0.81,0.8,0.6,1.0
United States,Colorado Springs,4.0,4.0,200.0,3202,1.0,34.0,0.6,0.6,0.8,36,0.87,0.6,0.81,0.8,0.8,0.8
Malta,Sliema,4.3,4.3,204.31,2623,0.8,39.6,0.6,0.6,0.8,15,0.87,0.6,0.81,0.8,0.0,0.8
Netherlands,Groningen,5.38,5.38,107.53,2761,0.8,28.2,0.8,1.0,0.8,65,0.88,0.8,0.81,0.8,0.8,0.8
Suriname,Groningen,5.38,5.38,107.53,2761,0.8,28.2,0.8,1.0,0.8,65,0.88,0.8,0.81,0.8,0.8,0.8
Canada,Windsor,3.69,3.69,73.86,2668,0.8,23.8,0.8,0.8,1.0,30,0.87,0.6,0.81,0.8,1.0,1.0
United Kingdom,Windsor,3.69,3.69,73.86,2668,0.8,23.8,0.8,0.8,1.0,30,0.87,0.6,0.81,0.8,1.0,1.0
United States,Windsor,3.69,3.69,73.86,2668,0.8,23.8,0.8,0.8,1.0,30,0.87,0.6,0.81,0.8,1.0,1.0
United States,Windsor,3.69,3.69,73.86,2668,0.8,23.8,0.8,0.8,1.0,30,0.87,0.6,0.81,0.8,1.0,1.0
United States,Windsor,3.69,3.69,73.86,2668,0.8,23.8,0.8,0.8,1.0,30,0.87,0.6,0.81,0.8,1.0,1.0
United States,Windsor,3.69,3.69,73.86,2668,0.8,23.8,0.8,0.8,1.0,30,0.87,0.6,0.81,0.8,1.0,1.0
Venezuela,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8
Spain,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8
Philippines,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8
Colombia,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8
Philippines,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8
Philippines,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8
Ecuador,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8
Trinidad and Tobago,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8
France,Bordeaux,5.38,5.38,283.89,2783,0.8,34.5,0.62,0.6,0.8,197,0.86,0.6,0.81,0.8,0.6,1.0
United States,Omaha,5.0,5.0,350.0,2956,0.8,34.0,0.0,0.6,0.8,31,0.85,1.0,0.81,0.8,0.8,0.8
Italy,Milan,8.6,8.6,268.83,3681,0.6,43.1,0.6,0.6,0.8,77,0.83,1.0,0.81,1.0,0.4,0.8
United States,Raleigh,5.0,5.0,300.0,2945,1.0,34.0,1.0,0.6,0.8,30,0.86,0.8,0.81,0.8,0.8,0.6
Austria,Vienna,4.84,4.84,182.81,2615,1.0,27.5,1.0,0.8,0.8,36,0.85,0.76,0.81,0.8,0.6,1.0
United States,Vienna,4.84,4.84,182.81,2615,1.0,27.5,1.0,0.8,0.8,36,0.85,0.76,0.81,0.8,0.6,1.0
United States,Vienna,4.84,4.84,182.81,2615,1.0,27.5,1.0,0.8,0.8,36,0.85,0.76,0.81,0.8,0.6,1.0
United States,Nashville,5.0,5.0,275.0,3482,0.8,34.0,0.4,0.6,0.8,28,0.9,1.0,0.8,0.8,0.8,0.8
United States,Milwaukee,7.0,7.0,110.0,3582,1.0,34.0,0.8,0.6,0.8,28,0.88,0.6,0.8,0.8,0.8,0.8
