country,city,coffee_in_cafe,cost_beer,cost_coworking,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,life_score,nightlife,nomad_score,places_to_work,racism,safety,marine_species
United States,Columbus,5.0,5.0,500.0,3535,0.8,34.0,0.6,0.6,1.0,52,0.83,0.6,0.77,0.8,0.8,0.8,14
United States,Columbus,5.0,5.0,500.0,3535,0.8,34.0,0.6,0.6,1.0,52,0.83,0.6,0.77,0.8,0.8,0.8,14
United States,Columbus,5.0,5.0,500.0,3535,0.8,34.0,0.6,0.6,1.0,52,0.83,0.6,0.77,0.8,0.8,0.8,14
United States,Hobart,3.77,3.77,237.72,2248,1.0,22.5,1.0,0.8,1.0,30,0.88,0.6,0.76,0.4,0.8,0.8,14
United States,Hobart,3.77,3.77,237.72,2248,1.0,22.5,1.0,0.8,1.0,30,0.88,0.6,0.76,0.4,0.8,0.8,14
United States,Gainesville,4.0,4.0,366.0,2590,1.0,34.0,0.8,0.6,0.8,70,0.83,0.6,0.76,0.4,0.76,0.8,14
United States,Gainesville,4.0,4.0,366.0,2590,1.0,34.0,0.8,0.6,0.8,70,0.83,0.6,0.76,0.4,0.76,0.8,14
United States,Gainesville,4.0,4.0,366.0,2590,1.0,34.0,0.8,0.6,0.8,70,0.83,0.6,0.76,0.4,0.76,0.8,14
United States,Gainesville,4.0,4.0,366.0,2590,1.0,34.0,0.8,0.6,0.8,70,0.83,0.6,0.76,0.4,0.76,0.8,14
United States,Brighton,4.37,4.37,248.26,3273,0.0,32.4,0.8,0.6,0.8,0,0.84,0.8,0.76,0.8,1.0,0.8,14
United States,Brighton,4.37,4.37,248.26,3273,0.0,32.4,0.8,0.6,0.8,0,0.84,0.8,0.76,0.8,1.0,0.8,14
United States,Brighton,4.37,4.37,248.26,3273,0.0,32.4,0.8,0.6,0.8,0,0.84,0.8,0.76,0.8,1.0,0.8,14
United States,Baton Rouge,4.63,4.63,616.1,2908,0.8,34.0,0.8,0.6,1.0,27,0.88,1.0,0.76,0.8,0.6,0.8,14
United States,Cambridge,4.37,4.37,324.36,2874,0.8,32.4,0.4,0.6,1.0,0,0.82,0.4,0.76,0.8,1.0,1.0,14
United States,Cambridge,4.37,4.37,324.36,2874,0.8,32.4,0.4,0.6,1.0,0,0.82,0.4,0.76,0.8,1.0,1.0,14
United States,Cambridge,4.37,4.37,324.36,2874,0.8,32.4,0.4,0.6,1.0,0,0.82,0.4,0.76,0.8,1.0,1.0,14
United States,Cambridge,4.37,4.37,324.36,2874,0.8,32.4,0.4,0.6,1.0,0,0.82,0.4,0.76,0.8,1.0,1.0,14
United States,Dublin,5.38,5.38,161.3,3292,0.6,22.5,0.4,0.8,0.6,31,0.83,1.0,0.76,0.8,1.0,0.96,14
United States,Dublin,5.38,5.38,161.3,3292,0.6,22.5,0.4,0.8,0.6,31,0.83,1.0,0.76,0.8,1.0,0.96,14
United States,Dublin,5.38,5.38,161.3,3292,0.6,22.5,0.4,0.8,0.6,31,0.83,1.0,0.76,0.8,1.0,0.96,14
United States,Chico,4.0,4.0,150.0,2489,0.8,34.0,1.0,0.6,1.0,28,0.84,1.0,0.76,0.4,0.8,0.8,14
United States,Victoria,4.06,4.06,240.03,3061,1.0,23.8,1.0,0.8,1.0,0,0.83,0.6,0.76,0.8,1.0,1.0,14
United States,Victoria,4.06,4.06,240.03,3061,1.0,23.8,1.0,0.8,1.0,0,0.83,0.6,0.76,0.8,1.0,1.0,14
United States,Flagstaff,3.0,3.0,503.0,3117,0.6,34.0,0.8,0.6,0.8,27,0.83,0.8,0.76,0.4,0.6,0.8,14
United States,Glasgow,4.37,4.37,37.43,2720,1.0,32.4,0.4,0.6,1.0,0,0.86,0.8,0.76,0.8,1.0,1.0,14
United States,Glasgow,4.37,4.37,37.43,2720,1.0,32.4,0.4,0.6,1.0,0,0.86,0.8,0.76,0.8,1.0,1.0,14
United States,Fairfax,7.5,7.5,250.0,3587,1.0,34.0,0.8,0.6,0.8,55,0.85,0.8,0.75,0.8,0.8,0.8,14
